title,card_img,price,categories,age,company,company_link,address
Розробка ігор для дітей від 9 років,,1 500 грн на місяць (Онлайн 1600 грн),"Інформаційні технології, IT - Комп'ютерна грамотність, Програмування, розробка, Робототехніка.",Середня школа.,"Robocode, культова школа робототехніки і програмування",/courses/company/32824/,"вул. Тараса Шевченка, 97, м. Стрий"
Комплексна підготовка до НМТ,,300 грн,"Мовні - Українська мова; Науки та підготовка до ЗНО/НМТ - Історія, Математика.",Середня школа.,"Bingo, підготовка до НМТ",/courses/company/33847/,"вул. Новопрорізна, 2, м. Бориспіль"
АДР без додаткових витрат,,4 500 грн,Водіння - Автоспорт.,Дорослі.,АДР лабораторія,/courses/company/32676/,"просп. Дмитра Яворницького, 111, м. Дніпро"
Розробка програмного забезпечення,,2 200 грн,"Інформаційні технології, IT - Програмування, розробка.","Середня школа, студенти, дорослі.","ШАГ, комп'ютерна академія",/courses/company/8482/,"просп. Миру, 44-а, м. Кривий Ріг"
"Адміністратор, обличчя та голос вашої компанії",,1 800 грн,"Професійні, підвищення кваліфікації - Відносини, комунікація, Готельно-ресторанний бізнес, туризм, HoReCa.",Дорослі.,Red berry,/courses/company/34281/,"вул. І. Франка, 18, оф.  229 , м. Львів "
N/A,/upload/logos/courses_companies/00007218_1.png,,,,,,
Англійська мова,,300 грн за заняття,Мовні - Англійська мова.,"Дошкільники, молодша школа, середня школа, студенти, дорослі, пенсіонери.",Другі Київські курси іноземних мов,/courses/company/3615/,Онлайн
Школа комп'ютерних геніїв,,1 100 грн,"Інформаційні технології, IT - Графічний дизайн, Програмування, розробка, Анімація, 3D графіка.","Молодша школа, середня школа.","П'ятірка, навчальний центр",/courses/company/2692/,"просп. Ак. Глушко, 16; вул. Кримська, 56-а, м. Одеса"
Карате кіокушинкай,,1 200 грн,"Спорт, фізичний розвиток - Бойові єдиноборства, бокс, MMA.","Молодша школа, середня школа, студенти, дорослі.","Doronin club, карате кіокушинкай",/courses/company/32055/,"вул. Анни Ахматової, 14-а, м. Київ"
MBA Edinburgh Business School,,,Дорослі.,,N/A,,
Англійська мова,,400 грн за заняття,Мовні - Англійська мова.,"Дошкільники, молодша школа, середня школа, студенти, дорослі, пенсіонери.",Азбука Світу,/courses/company/2314/,Онлайн
"Відтінки блонд, як найбільш популярний колір",,300 грн,"Індустрія краси - Візаж, стилістика.",Дорослі.,Черномор косметікс,/courses/company/32952/,"вул. Льва Товстого, 1, м. Київ"
Барбер-майстер з нуля,,40 000 грн,"Індустрія краси - Краса, здоров'я, Перукарське мистецтво.","Середня школа, студенти, дорослі.","Mr.Colt, школа барберів",/courses/company/32001/,"вул. Золотоустівська, 24, м. Київ"
Бухгалтерський облік,,800 грн,"Професійні, підвищення кваліфікації - Економіка, бухгалтерія та облік, Фінанси, страхування.","Середня школа, студенти, дорослі, пенсіонери.",Учбово-торгівельний центр,/courses/company/8010/,Онлайн
Англійська мова для дітей,,600 грн,Мовні - Англійська мова.,"Дошкільники, молодша школа, середня школа.","Mr. English, курси англійської мови",/courses/company/1465/,"вул. Леніна, 43-а, м. Чорноморськ"
Підготовка до школи вихідного дня,,,Дошкільники.,,N/A,,
Бізнес-консалтинг,,49 400 грн,"Професійні, підвищення кваліфікації - Економіка, бухгалтерія та облік, Менеджмент, управління, Фінанси, страхування.","Студенти, дорослі.",Економіка підприємства КНУ імені Тараса Шевченка,/courses/company/33010/,"вул. Васильківська, 90-а, м. Київ"
"3D візуалізація інтер'єрів та екстер'єрів, групові заняття",,14 800 грн за курс (Входить 37 занять),"Інформаційні технології, IT - Графічний дизайн; Мистецтво, творчість - Дизайн інтер'єру, архітектура, декор.","Середня школа, студенти, дорослі.","Seed of art, 3D візуалізація 3Ds MAx+Corona",/courses/company/30344/,Онлайн
Історія,,120 грн,Науки та підготовка до ЗНО/НМТ - Історія.,"Середня школа, студенти, дорослі.",Школа Кевін,/courses/company/33450/,"Харківське шосе, 144-б, м. Київ"
"Менеджер по персоналу, фахівець відділу кадрів",,4 700 грн,"Професійні, підвищення кваліфікації - Діловодство, секретаріат, Менеджмент, управління, Психологія, саморозвиток.","Студенти, дорослі.",Бізнес-школа Ірини Ставицької,/courses/company/29956/,"вул. Саксаганського, 50, оф. 211, м. Київ"
Англійська мова,,160 грн,Мовні - Англійська мова.,"Середня школа, студенти, дорослі.",Study Bridge,/courses/company/1912/,"вул. Еспланадна, 20, оф. 409, м. Київ, 01001"
